x, 1, 2, 3, 4, 5, 6, 7
0.000e+00,  0.000e+00,  0.000e+00,  0.000e+00,  0.000e+00,  0.000e+00,  0.000e+00,  0.000e+00
5.000e-04,  4.167e-11,  4.167e-11,  4.167e-11,  4.167e-11,  4.160e-11,  0.000e+00,  4.167e-11
1.000e-03,  3.333e-10,  3.333e-10,  3.333e-10,  3.333e-10,  3.331e-10,  0.000e+00,  3.333e-10
1.500e-03,  1.125e-09,  1.125e-09,  1.125e-09,  1.125e-09,  1.124e-09,  0.000e+00,  1.125e-09
2.000e-03,  2.667e-09,  2.667e-09,  2.667e-09,  2.667e-09,  2.666e-09,  0.000e+00,  2.667e-09
2.500e-03,  5.208e-09,  5.208e-09,  5.208e-09,  5.208e-09,  5.207e-09,  0.000e+00,  5.208e-09
3.000e-03,  9.000e-09,  9.000e-09,  9.000e-09,  9.000e-09,  8.998e-09,  0.000e+00,  9.000e-09
3.500e-03,  1.429e-08,  1.429e-08,  1.429e-08,  1.429e-08,  1.429e-08,  0.000e+00,  1.429e-08
4.000e-03,  2.133e-08,  2.133e-08,  2.133e-08,  2.133e-08,  2.133e-08,  0.000e+00,  2.133e-08
4.500e-03,  3.037e-08,  3.038e-08,  3.038e-08,  3.038e-08,  3.037e-08,  0.000e+00,  3.038e-08
5.000e-03,  4.167e-08,  4.167e-08,  4.167e-08,  4.167e-08,  4.166e-08,  0.000e+00,  4.167e-08
5.500e-03,  5.546e-08,  5.546e-08,  5.546e-08,  5.546e-08,  5.545e-08,  0.000e+00,  5.546e-08
6.000e-03,  7.200e-08,  7.200e-08,  7.200e-08,  7.200e-08,  7.199e-08,  0.000e+00,  7.200e-08
6.500e-03,  9.154e-08,  9.154e-08,  9.154e-08,  9.154e-08,  9.153e-08,  0.000e+00,  9.154e-08
7.000e-03,  1.143e-07,  1.143e-07,  1.143e-07,  1.143e-07,  1.143e-07,  0.000e+00,  1.143e-07
7.500e-03,  1.406e-07,  1.406e-07,  1.406e-07,  1.406e-07,  1.406e-07,  1.099e-08,  1.406e-07
8.000e-03,  1.707e-07,  1.707e-07,  1.707e-07,  1.707e-07,  1.707e-07,  1.220e-07,  1.707e-07
8.500e-03,  2.047e-07,  2.047e-07,  2.047e-07,  2.047e-07,  2.047e-07,  2.330e-07,  2.047e-07
9.000e-03,  2.430e-07,  2.430e-07,  2.430e-07,  2.430e-07,  2.430e-07,  3.441e-07,  2.430e-07
9.500e-03,  2.858e-07,  2.858e-07,  2.858e-07,  2.858e-07,  2.858e-07,  4.551e-07,  2.858e-07
1.000e-02,  3.333e-07,  3.333e-07,  3.333e-07,  3.333e-07,  3.333e-07,  5.661e-07,  3.333e-07
1.050e-02,  3.859e-07,  3.859e-07,  3.859e-07,  3.859e-07,  3.858e-07,  6.771e-07,  3.859e-07
1.100e-02,  4.437e-07,  4.437e-07,  4.437e-07,  4.437e-07,  4.436e-07,  7.881e-07,  4.437e-07
1.150e-02,  5.070e-07,  5.070e-07,  5.070e-07,  5.070e-07,  5.069e-07,  8.992e-07,  5.070e-07
1.200e-02,  5.760e-07,  5.760e-07,  5.760e-07,  5.760e-07,  5.760e-07,  1.010e-06,  5.760e-07
1.250e-02,  6.510e-07,  6.510e-07,  6.510e-07,  6.510e-07,  6.510e-07,  1.121e-06,  6.510e-07
1.300e-02,  7.323e-07,  7.323e-07,  7.323e-07,  7.323e-07,  7.323e-07,  1.232e-06,  7.323e-07
1.350e-02,  8.201e-07,  8.201e-07,  8.201e-07,  8.201e-07,  8.201e-07,  1.343e-06,  8.201e-07
1.400e-02,  9.147e-07,  9.147e-07,  9.147e-07,  9.147e-07,  9.146e-07,  1.454e-06,  9.147e-07
