x, 1, 2, 3, 4, 5, 6
0.00,   0.00e+00,   0.00e+00,   0.00e+00,   0.00e+00,   0.00e+00,   0.00e+00
0.10,   3.33e-04,   3.33e-04,   3.33e-04,   3.33e-04,   3.33e-04,   3.33e-04
0.20,   2.67e-03,   2.67e-03,   2.67e-03,   2.67e-03,   2.67e-03,   2.67e-03
0.30,   9.00e-03,   9.00e-03,   9.00e-03,   9.00e-03,   9.00e-03,   9.00e-03
0.40,   2.13e-02,   2.14e-02,   2.14e-02,   2.14e-02,   2.14e-02,   2.14e-02
0.50,   4.17e-02,   4.18e-02,   4.18e-02,   4.18e-02,   4.18e-02,   4.18e-02
0.60,   7.20e-02,   7.24e-02,   7.24e-02,   7.24e-02,   7.24e-02,   7.24e-02
0.70,   1.14e-01,   1.16e-01,   1.16e-01,   1.16e-01,   1.16e-01,   1.16e-01
0.80,   1.71e-01,   1.74e-01,   1.74e-01,   1.74e-01,   1.74e-01,   1.74e-01
0.90,   2.43e-01,   2.51e-01,   2.51e-01,   2.51e-01,   2.51e-01,   2.51e-01
1.00,   3.33e-01,   3.49e-01,   3.50e-01,   3.50e-01,   3.50e-01,   3.50e-01
1.10,   4.44e-01,   4.75e-01,   4.77e-01,   4.78e-01,   4.78e-01,   4.78e-01
1.20,   5.76e-01,   6.33e-01,   6.40e-01,   6.41e-01,   6.41e-01,   6.41e-01
1.30,   7.32e-01,   8.32e-01,   8.50e-01,   8.53e-01,   8.53e-01,   8.53e-01
1.40,   9.15e-01,   1.08e+00,   1.12e+00,   1.13e+00,   1.13e+00,   1.13e+00
1.50,   1.12e+00,   1.40e+00,   1.49e+00,   1.51e+00,   1.52e+00,   1.52e+00
1.60,   1.37e+00,   1.79e+00,   1.98e+00,   2.05e+00,   2.08e+00,   2.08e+00
1.70,   1.64e+00,   2.29e+00,   2.67e+00,   2.86e+00,   2.97e+00,   2.97e+00
1.80,   1.94e+00,   2.92e+00,   3.65e+00,   4.15e+00,   4.69e+00,   4.69e+00
1.90,   2.29e+00,   3.71e+00,   5.08e+00,   6.37e+00,   9.57e+00,   9.57e+00
2.00,   2.67e+00,   4.70e+00,   7.22e+00,   1.05e+01,   3.17e+02,   3.18e+02
